id,price,year,mileage,engine_capacity,engine_power,accident_free,origin,four_wheel_drive,invoice_vat,estate,fuel_type,transmission
ID6FEfZj,58999,2015,210100,1968,150,False,Finlandia,False,False,True,Diesel,Automatic
ID6FEikd,69900,2017,177000,1598,120,False,Belgia,False,False,True,Diesel,Automatic
ID6FEoRf,89900,2017,249000,1968,240,True,Unknown,True,False,True,Diesel,Automatic
ID6FEXcL,59900,2015,90242,1798,180,False,Polska,False,True,True,Petrol,Manual
ID6FFBZ9,109900,2020,182000,1968,190,True,Unknown,True,True,True,Diesel,Automatic
ID6FFEnG,48900,2016,200000,1968,150,False,Niemcy,False,False,True,Diesel,Automatic
ID6Ffgtt,78359,2018,253000,1968,240,True,Polska,True,False,False,Diesel,Automatic
ID6FFspQ,122850,2019,56062,1984,272,True,Polska,True,True,False,Petrol,Automatic
ID6FFvwQ,60000,2019,260000,1968,150,True,Polska,False,False,False,Diesel,Manual
ID6FfYkm,149900,2019,54207,1968,190,True,Unknown,True,True,True,Diesel,Automatic
ID6FG3YC,54900,2014,225772,1968,190,True,Belgia,False,False,True,Diesel,Automatic
ID6FGa63,85900,2016,127000,1798,180,True,Unknown,False,False,False,Petrol,Automatic
ID6FGjJ3,73677,2018,315644,1968,190,True,Norwegia,True,True,True,Diesel,Automatic
ID6FH8fp,179900,2022,39700,1968,200,True,Unknown,True,True,True,Diesel,Automatic
ID6FhQtt,65850,2019,185689,1498,150,False,Polska,False,False,True,Petrol,Manual
ID6FHvB6,67900,2017,147000,1968,150,True,Polska,False,False,False,Diesel,Manual
ID6FIahj,106900,2020,129772,1984,190,False,Polska,False,False,True,Petrol,Automatic
ID6FId5M,57900,2015,194400,1968,150,True,Niemcy,False,False,True,Diesel,Automatic
ID6FIGCW,67000,2016,243000,1984,280,True,Polska,True,False,True,Petrol,Automatic
ID6FIhVj,52900,2017,249000,1968,150,True,Polska,False,False,False,Diesel,Manual
ID6FIQ5o,43900,2016,246000,1968,150,False,Unknown,False,False,True,Diesel,Automatic
ID6FIqw2,78000,2019,77400,1498,150,True,Polska,False,False,False,Petrol,Manual
ID6FjFrV,49999,2016,240000,1968,150,True,Niemcy,False,False,True,Diesel,Automatic
ID6FJH7x,81900,2019,164000,1968,150,True,Niemcy,False,False,True,Diesel,Automatic
ID6FK7bD,45900,2015,317000,1968,150,True,Unknown,False,False,False,Diesel,Manual
ID6FkC4c,63200,2017,80500,1395,125,True,Unknown,False,False,False,Petrol,Manual
ID6FKoTQ,48000,2015,204004,1395,150,True,Polska,False,False,False,Petrol,Manual
ID6FKOvg,58900,2018,191500,1395,125,True,Polska,False,True,False,Petrol,Manual
ID6FKQz4,79990,2018,97000,1968,150,False,Unknown,False,False,True,Diesel,Automatic
ID6FKroC,66000,2017,257000,1968,190,True,Unknown,False,False,True,Diesel,Automatic
ID6FKu9y,67900,2019,207000,1968,150,False,Niemcy,False,False,True,Diesel,Manual
ID6FL5tn,119850,2020,65544,1968,190,False,Polska,False,True,False,Diesel,Automatic
ID6Fl6EF,59900,2017,113232,1598,120,False,Austria,False,False,True,Diesel,Manual
ID6FL6u1,68000,2015,186000,1968,190,False,Unknown,False,False,True,Diesel,Automatic
ID6FLDQw,62900,2015,177000,1968,150,False,Unknown,False,False,True,Diesel,Automatic
ID6FLgHx,65000,2018,105000,1798,180,True,Polska,False,False,False,Petrol,Manual
ID6FLNvP,55900,2017,192800,1968,150,False,Polska,False,True,False,Diesel,Manual
ID6FLv1N,74900,2018,173735,1968,190,True,Polska,True,True,True,Diesel,Automatic
ID6FMHDl,58000,2015,184703,1968,190,True,Polska,False,False,False,Diesel,Automatic
ID6FMkCU,65990,2016,175200,1798,180,True,Polska,False,False,False,Petrol,Automatic
ID6FMp9q,130900,2020,96000,1968,190,True,Polska,False,False,True,Diesel,Automatic
ID6FN2vl,124999,2017,127760,1968,190,True,Polska,True,True,True,Diesel,Automatic
ID6FN9Zr,72900,2016,195600,1798,180,True,Polska,False,False,False,Petrol,Manual
ID6FNcl5,69900,2017,228123,1968,150,False,Unknown,False,False,False,Diesel,Automatic
ID6FNJIk,79900,2018,179287,1968,190,False,Polska,True,True,False,Diesel,Automatic
ID6FNKnE,47000,2015,301000,1968,150,True,Unknown,False,False,True,Diesel,Manual
ID6FNr1X,96500,2019,85200,1968,190,False,Unknown,True,False,True,Diesel,Automatic
ID6FO503,54900,2016,198364,1598,120,True,Niemcy,False,False,True,Diesel,Manual
ID6FOc8O,59900,2016,176671,1968,150,False,Polska,False,False,True,Diesel,Manual
ID6FOER6,71900,2018,167000,1968,150,True,Polska,False,False,True,Diesel,Manual
ID6FOn55,44900,2015,192714,1598,120,False,Unknown,False,False,True,Diesel,Manual
ID6FOpkz,78900,2020,119835,1498,150,True,Polska,False,False,False,Petrol,Manual
ID6FOsBd,75000,2016,160000,1968,240,True,Polska,True,False,False,Diesel,Automatic
ID6FOUkT,69000,2018,197500,1968,150,True,Francja,False,False,True,Diesel,Automatic
ID6FP6vj,64900,2018,194000,1968,150,True,Unknown,False,False,False,Diesel,Manual
ID6FPB0w,65900,2016,217000,1598,125,False,Belgia,False,False,False,Diesel,Manual
ID6FPB3j,134900,2019,126745,1984,272,True,Polska,True,True,True,Petrol,Automatic
ID6FpHNJ,78900,2016,185000,1968,190,True,Polska,True,False,False,Diesel,Automatic
ID6FPHUz,76900,2017,172000,1968,190,True,Niemcy,False,False,True,Diesel,Automatic
ID6FPJ6G,27900,2015,175000,1968,150,False,Unknown,False,False,True,Diesel,Manual
ID6FPKTW,79999,2016,176324,1968,190,True,Szwajcaria,True,False,True,Diesel,Automatic
ID6Fpl8Q,52000,2017,238000,1598,120,True,Francja,False,False,True,Diesel,Manual
ID6FpLfy,57900,2015,189000,1968,150,False,Niemcy,False,False,True,Diesel,Automatic
ID6FPMAM,59900,2016,184000,1968,190,False,Unknown,False,False,True,Diesel,Manual
ID6FPMy5,74900,2018,179872,1598,120,True,Niemcy,False,False,True,Diesel,Automatic
ID6FQ2nh,67900,2019,144000,1968,150,True,Unknown,False,False,True,Diesel,Manual
ID6FQ4tu,104900,2020,108080,1984,190,True,Polska,False,False,True,Petrol,Automatic
ID6FQ5J2,43900,2015,229000,1598,120,False,Unknown,False,False,True,Diesel,Manual
ID6FQ6CP,115500,2019,110551,1968,150,False,Unknown,False,False,True,Diesel,Manual
ID6FQwgW,119500,2020,88046,1968,150,False,Szwajcaria,False,True,True,Diesel,Automatic
ID6FQxqd,102000,2018,120000,1968,190,True,Polska,True,False,False,Diesel,Automatic
ID6FQXtX,61900,2015,94400,1968,149,True,Niemcy,False,False,True,Diesel,Manual
ID6FQy4V,81900,2019,184300,1968,150,True,Unknown,False,True,True,Diesel,Automatic
ID6FQyZu,85900,2018,156000,1968,190,True,Polska,False,False,True,Diesel,Automatic
ID6FQZAM,79900,2017,208600,1968,190,True,Unknown,True,False,True,Diesel,Automatic
ID6FRND7,96000,2018,160000,1968,240,True,Polska,True,False,True,Diesel,Automatic
ID6FRNN8,60999,2015,280000,1984,220,True,Unknown,False,False,False,Petrol,Automatic
ID6FRzsb,52900,2016,253000,1968,150,False,Holandia,False,False,True,Diesel,Manual
ID6FSaOS,109900,2020,78500,1968,150,True,Niemcy,False,True,True,Diesel,Automatic
ID6FsGPC,75900,2018,188000,1968,150,True,Belgia,False,False,True,Diesel,Automatic
ID6FSLRR,67900,2016,246565,1968,240,True,Polska,True,False,False,Diesel,Automatic
ID6FSMxw,78105,2016,185000,1968,150,True,Polska,False,False,True,Diesel,Automatic
ID6FSSNS,159900,2020,113038,1968,239,True,Polska,True,False,True,Diesel,Automatic
ID6FSWxh,29900,2015,161000,1968,150,False,Unknown,False,False,True,Diesel,Automatic
ID6FT0Cy,60500,2016,100000,1798,180,False,Stany,False,False,False,Petrol,Automatic
ID6FT1HP,75850,2019,144832,1498,150,True,Polska,False,True,True,Petrol,Automatic
ID6FTbZD,46900,2016,180000,1598,120,True,Niemcy,False,False,True,Diesel,Automatic
ID6FTdlx,79900,2019,167000,1968,150,True,Unknown,False,True,True,Diesel,Automatic
ID6FtPGt,175000,2023,9979,1498,150,False,Polska,False,True,True,Petrol,Automatic
ID6FU6Xi,54999,2016,228900,1968,190,True,Niemcy,False,False,True,Diesel,Automatic
ID6FUbpM,72800,2018,182280,1968,150,True,Unknown,False,False,True,Diesel,Automatic
ID6FuEUg,16900,2018,417206,1598,120,False,Francja,False,False,True,Diesel,Automatic
ID6Fuezh,59999,2018,198000,1968,150,True,Unknown,False,False,True,Diesel,Manual
ID6FuFo5,68000,2018,123000,1968,150,True,Niemcy,False,False,True,Diesel,Manual
ID6FUIxa,59900,2015,126000,1598,120,True,Unknown,False,False,False,Diesel,Manual
ID6FUS9q,73900,2019,99600,1498,150,True,Polska,False,False,False,Petrol,Manual
ID6FUTZs,127300,2020,94120,1968,190,True,Unknown,False,False,True,Diesel,Automatic
ID6FUU8i,96900,2019,124600,1968,190,True,Unknown,True,False,True,Diesel,Automatic
ID6FUw8g,76900,2018,98000,1395,150,True,Polska,False,False,False,Petrol,Automatic
ID6FUwCg,79950,2017,252100,1968,240,True,Polska,True,False,True,Diesel,Automatic
ID6FUwJ7,103850,2020,106950,1968,190,True,Polska,False,True,False,Diesel,Automatic
ID6FV0F3,110000,2019,112900,1968,190,True,Polska,True,False,True,Diesel,Automatic
ID6FVggn,84870,2020,129000,1984,190,True,Polska,False,False,False,Petrol,Automatic
ID6FVGVD,55500,2016,202400,1968,150,True,Niemcy,False,False,True,Diesel,Manual
ID6FvjmM,109900,2019,101000,1968,190,True,Unknown,True,False,True,Diesel,Automatic
ID6FVmI5,79900,2020,122000,1968,150,True,Polska,False,True,False,Diesel,Manual
ID6FVnGq,103850,2020,120859,1968,190,False,Polska,False,False,False,Diesel,Automatic
ID6FVP4a,87000,2018,136000,1968,150,True,Polska,False,False,False,Diesel,Manual
ID6FvTyM,92000,2017,177995,1968,240,True,Polska,True,True,True,Diesel,Automatic
ID6FvWDa,72900,2019,119110,1968,150,True,Polska,False,True,True,Diesel,Manual
ID6FVyPK,58900,2015,248000,1968,150,False,Niemcy,False,False,True,Diesel,Automatic
ID6FvZDW,79800,2015,168592,1968,240,True,Polska,True,False,True,Diesel,Automatic
ID6FWi7P,78000,2020,169730,1498,150,True,Polska,False,False,True,Petrol,Automatic
ID6FWrHO,109900,2020,156700,1968,190,True,Unknown,True,True,True,Diesel,Automatic
ID6FWS34,60500,2018,140000,1395,125,False,Unknown,False,False,False,Petrol,Automatic
ID6FX09q,44000,2015,181000,1598,120,False,Unknown,False,False,True,Diesel,Manual
ID6FX2K1,54900,2017,198000,1598,120,False,Unknown,False,False,True,Diesel,Automatic
ID6FXBxi,106850,2020,113571,1968,190,True,Polska,False,True,False,Diesel,Automatic
ID6FxE1l,88900,2019,185550,1968,190,True,Unknown,True,False,True,Diesel,Automatic
ID6Fxf5g,59999,2016,246000,1968,150,True,Niemcy,False,False,True,Diesel,Manual
ID6FxfCa,70000,2017,244500,1968,190,True,Unknown,True,False,True,Diesel,Automatic
ID6FXGj0,49500,2015,254000,1968,150,False,Unknown,False,False,True,Diesel,Manual
ID6FXGk5,55900,2015,283300,1968,240,True,Polska,True,False,False,Diesel,Automatic
ID6FXMKM,68900,2018,177000,1968,150,False,Unknown,False,False,True,Diesel,Automatic
ID6FXsF0,61999,2016,236000,1968,150,True,Niemcy,False,False,True,Diesel,Manual
ID6FXWoC,94900,2019,113808,1984,190,False,Polska,False,True,False,Petrol,Automatic
ID6FXWwd,69900,2020,216000,1498,150,True,Polska,False,False,False,Petrol,Automatic
ID6FYbqq,76900,2019,92059,1598,120,False,Niemcy,False,False,True,Diesel,Automatic
ID6Fye2j,61500,2018,279000,1968,150,True,Polska,False,False,True,Diesel,Manual
ID6FYFFr,104999,2020,43000,1984,190,False,Unknown,False,False,False,Petrol,Automatic
ID6FYGDL,66900,2017,236123,1968,150,True,Unknown,False,False,False,Diesel,Automatic
ID6FYJiV,57500,2015,240000,1968,190,True,Niemcy,False,False,False,Diesel,Automatic
ID6FYKSj,66900,2017,186000,1598,120,True,Niemcy,False,False,False,Diesel,Automatic
ID6FYKXb,60000,2017,110000,1798,180,False,Unknown,False,False,False,Petrol,Automatic
ID6FyMdd,117350,2020,82139,1984,190,False,Polska,False,True,True,Petrol,Automatic
ID6FYQAn,46000,2016,243937,1968,150,True,Niemcy,False,False,True,Diesel,Manual
ID6FYTLF,62000,2015,167350,1984,220,True,Polska,False,False,False,Petrol,Automatic
ID6FYUGW,68800,2018,267000,1968,190,True,Unknown,True,False,True,Diesel,Automatic
ID6FyV1l,102951,2019,119094,1968,190,True,Polska,True,True,True,Diesel,Automatic
ID6FYWbm,65500,2015,239000,1968,150,True,Polska,False,False,False,Diesel,Automatic
ID6FYX1n,75000,2018,159000,1395,150,True,Polska,False,False,False,Petrol,Automatic
ID6FYXrn,93000,2020,150000,1968,150,False,Niemcy,False,False,True,Diesel,Manual
ID6FYYkB,114900,2020,209000,1968,190,True,Szwecja,True,False,True,Diesel,Automatic
ID6FZ9EF,48400,2016,222800,1968,150,True,Niemcy,False,False,True,Diesel,Manual
ID6FZdE8,82700,2016,119600,1984,280,True,Polska,True,False,False,Petrol,Automatic
ID6FzEdR,149900,2022,4485,1498,150,True,Polska,False,True,True,Petrol,Automatic
ID6FZh1f,76700,2019,72356,1968,150,False,Niemcy,False,False,True,Diesel,Manual
ID6FZrO7,81900,2019,185000,1968,150,True,Niemcy,False,True,True,Diesel,Automatic
ID6FzWh9,60000,2017,185400,1395,150,False,Polska,False,False,True,Petrol,Manual
ID6FzXq2,49000,2015,252000,1968,150,False,Niemcy,False,False,True,Diesel,Automatic
ID6FZxrq,69000,2018,167627,1968,149,False,Unknown,False,False,True,Diesel,Automatic
ID6G2DeI,57999,2019,259520,1968,150,False,Polska,False,False,False,Diesel,Manual
ID6G2Q12,95800,2018,44000,1798,180,False,Unknown,False,False,False,Petrol,Automatic
ID6G39Ks,77200,2018,56568,1968,150,False,Polska,False,False,True,Diesel,Automatic
ID6G3FmY,67500,2019,225000,1968,150,True,Polska,False,False,True,Diesel,Manual
ID6G3fxk,47000,2017,208000,1968,150,True,Polska,False,False,True,Diesel,Manual
ID6G3h2p,78899,2018,83000,2000,150,True,Polska,False,True,True,Diesel,Automatic
ID6G3ilb,78900,2019,103481,1498,150,False,Polska,False,True,False,Petrol,Automatic
ID6G3Jpa,62900,2018,185254,1968,150,True,Polska,False,True,True,Diesel,Manual
ID6G3Nhs,54900,2017,242000,1968,150,True,Niemcy,False,False,True,Diesel,Automatic
ID6G3OyZ,69900,2017,217000,1968,150,True,Niemcy,False,False,True,Diesel,Manual
ID6G3QzF,72000,2019,120000,1968,149,False,Unknown,False,False,False,Diesel,Manual
ID6G3S8k,69850,2019,205472,1968,150,True,Polska,False,True,True,Diesel,Manual
ID6G3TcU,50900,2017,207000,1800,180,False,Unknown,False,False,False,Petrol,Automatic
ID6G3tru,94900,2019,69300,1984,190,True,Polska,False,False,False,Petrol,Automatic
ID6G3u3m,86900,2019,60718,1968,150,False,Polska,False,False,False,Diesel,Manual
ID6G3uQK,59900,2018,120000,1400,125,True,Polska,False,False,False,Petrol,Manual
ID6G3w1J,89900,2019,135000,1968,190,True,Niemcy,False,False,True,Diesel,Automatic
ID6G3yq5,79500,2016,112000,1968,190,True,Polska,False,False,False,Diesel,Automatic
ID6G3zJo,77960,2020,98000,1498,150,True,Polska,False,False,False,Petrol,Manual
ID6G441S,59900,2016,169300,1400,150,True,Polska,False,False,False,Petrol,Manual
ID6G45rk,72900,2015,207000,1968,240,True,Niemcy,True,False,True,Diesel,Automatic
ID6G4Bbu,139900,2022,21000,1968,150,True,Niemcy,False,False,True,Diesel,Automatic
ID6G4BBx,69999,2016,107000,1798,180,True,Polska,False,False,False,Petrol,Automatic
ID6G4bcL,97900,2019,135900,1968,150,True,Polska,False,False,False,Diesel,Automatic
ID6G4cES,96900,2020,82441,1968,150,True,Polska,False,True,True,Diesel,Automatic
ID6G4cqS,93900,2021,46000,1500,150,True,Austria,False,False,True,Petrol,Automatic
ID6G4dyo,97900,2020,57803,1499,150,True,Polska,False,True,True,Petrol,Manual
ID6G4iwY,74900,2017,97000,1968,150,False,Polska,False,False,True,Diesel,Automatic
ID6G4j31,79900,2019,139993,1968,150,True,Polska,False,True,True,Diesel,Automatic
ID6G4jfy,61000,2018,198404,1395,125,True,Polska,False,False,True,Petrol,Manual
ID6G4ktE,68700,2016,249700,1968,190,True,Polska,False,False,False,Diesel,Automatic
ID6G4Ldm,64900,2017,146480,1798,180,True,Polska,False,False,False,Petrol,Manual
ID6G4Ln9,94900,2019,59309,1498,150,True,Polska,False,True,True,Petrol,Automatic
ID6G4OkV,77900,2019,121000,1968,150,False,Unknown,False,True,True,Diesel,Automatic
ID6G4SAh,64900,2018,240000,1968,150,True,Niemcy,False,True,True,Diesel,Manual
ID6G51YL,69900,2017,137070,1968,150,True,Polska,False,True,True,Diesel,Manual
ID6G52nc,81999,2019,188963,1968,150,True,Unknown,False,False,True,Diesel,Automatic
ID6G5AC2,149900,2020,61534,1968,200,True,Unknown,True,True,True,Diesel,Automatic
ID6G5ANr,101900,2021,64818,1498,150,True,Polska,False,True,True,Petrol,Manual
ID6G5HiM,83500,2018,126000,1598,120,True,Belgia,False,False,False,Diesel,Automatic
ID6G5hVK,59849,2015,147000,1968,190,True,Polska,False,False,True,Diesel,Manual
ID6G5nPc,72900,2019,42000,1598,120,False,Niemcy,False,False,True,Diesel,Automatic
ID6G5nWP,70000,2016,215000,1968,190,True,Polska,True,False,True,Diesel,Automatic
ID6G5NYF,42000,2014,316510,1968,150,True,Niemcy,False,False,True,Diesel,Automatic
ID6G5obA,73900,2017,125000,1968,150,True,Polska,False,False,False,Diesel,Automatic
ID6G5Ovy,59499,2015,172000,1968,150,False,Szwecja,False,False,True,Diesel,Manual
ID6G5rcu,144850,2021,124658,1968,200,True,Polska,True,True,False,Diesel,Automatic
ID6G5VrZ,49900,2015,275000,1968,190,True,Unknown,False,False,True,Diesel,Automatic
ID6G5Vse,84900,2018,102500,1968,150,False,Unknown,False,False,True,Diesel,Automatic
ID6G640D,47900,2017,170000,1395,125,False,Polska,False,True,False,Petrol,Manual
ID6G65Qs,129000,2022,24700,1984,190,True,Polska,False,False,True,Petrol,Automatic
ID6G6dKy,89000,2019,168000,1968,150,False,Unknown,False,False,True,Diesel,Automatic
ID6G6MBX,49999,2015,227000,1968,150,True,Niemcy,False,False,True,Diesel,Manual
ID6G6NqT,56900,2018,199000,1598,120,False,Francja,False,False,False,Diesel,Automatic
ID6G6ObM,93900,2020,94020,1984,190,True,Polska,False,True,True,Petrol,Automatic
ID6G6tey,51900,2016,266000,1968,150,True,Niemcy,False,False,False,Diesel,Automatic
ID6G6z9K,94500,2019,123397,1984,190,False,Polska,False,True,False,Petrol,Automatic
ID6G75cq,108850,2020,86860,1968,190,True,Polska,False,True,False,Diesel,Automatic
ID6G75cs,60850,2018,183007,1968,150,False,Polska,False,True,True,Diesel,Automatic
ID6G77wB,49600,2015,210820,1395,125,True,Unknown,False,False,True,Petrol,Automatic
ID6G7ApR,79000,2018,147000,1968,190,False,Francja,True,False,True,Diesel,Automatic
ID6G7b2b,49900,2018,257000,1498,150,True,Polska,False,False,True,Petrol,Manual
ID6G7Bn7,71700,2017,143000,1798,180,False,Polska,False,False,False,Petrol,Automatic
ID6G7FBt,49000,2016,294000,1968,150,True,Austria,False,False,True,Diesel,Automatic
ID6G7GDi,149900,2019,110000,1968,240,True,Polska,True,False,True,Diesel,Automatic
ID6G7gLB,64900,2018,192000,1968,150,True,Polska,False,True,True,Diesel,Manual
ID6G7JHb,54900,2015,237000,1968,150,False,Unknown,False,False,True,Diesel,Manual
ID6G7jm9,69900,2019,138179,1968,150,True,Polska,False,True,True,Diesel,Automatic
ID6G7jVj,69999,2018,232000,1968,190,True,Polska,False,True,True,Diesel,Automatic
ID6G7Mp3,108000,2021,87200,1498,150,True,Polska,False,False,True,Petrol,Automatic
ID6G7OMg,108700,2020,131821,1984,190,False,Polska,False,True,True,Petrol,Automatic
ID6G7QNT,68450,2017,159906,1968,150,False,Polska,False,True,True,Diesel,Manual
ID6G7quC,49900,2016,299000,1968,150,False,Unknown,False,False,True,Diesel,Automatic
ID6G7Tsr,208900,2023,15000,1968,200,True,Polska,True,True,True,Diesel,Automatic
ID6G7vQ3,41900,2015,352000,1968,150,True,Polska,False,False,True,Diesel,Manual
ID6G7w8o,67900,2017,121000,1395,150,False,Unknown,False,False,True,Petrol,Manual
ID6G8520,89900,2020,103000,1968,150,True,Polska,False,True,True,Diesel,Manual
ID6G852r,92900,2020,66000,1498,150,False,Polska,False,True,True,Petrol,Manual
ID6G8C2j,37900,2015,302211,1968,150,True,Polska,False,False,False,Diesel,Manual
ID6G8dKz,79900,2016,165000,1984,220,True,Polska,True,True,True,Petrol,Automatic
ID6G8DuW,94850,2020,137023,1968,190,False,Polska,False,True,False,Diesel,Automatic
ID6G8K2y,72000,2019,164000,1968,150,True,Polska,False,False,False,Diesel,Manual
ID6G8OdX,74900,2018,116434,1798,180,False,Polska,False,False,False,Petrol,Manual
ID6G8pdQ,59000,2017,198000,1968,150,True,Polska,False,False,True,Diesel,Automatic
ID6G8pZQ,89900,2020,138982,1968,190,True,Polska,False,True,True,Diesel,Automatic
ID6G8q35,55000,2016,365000,1968,190,True,Włochy,True,False,True,Diesel,Automatic
ID6G8Xdl,69899,2020,121000,1498,150,True,Polska,False,True,True,Petrol,Manual
ID6G96XB,89900,2019,103244,1968,190,True,Polska,True,True,True,Diesel,Automatic
ID6G9bYE,63900,2019,226500,1598,120,True,Belgia,False,False,True,Diesel,Automatic
ID6G9coU,82900,2018,139000,1798,180,True,Polska,False,False,True,Petrol,Automatic
ID6G9Es6,77900,2018,135098,1598,120,True,Niemcy,False,False,False,Diesel,Automatic
ID6G9fAY,99850,2020,166879,1968,190,True,Polska,False,True,False,Diesel,Automatic
ID6G9fxd,110850,2020,84381,1968,190,False,Polska,False,False,False,Diesel,Automatic
ID6G9HsH,70900,2018,141000,1968,150,True,Polska,False,False,True,Diesel,Manual
ID6G9hue,54900,2015,180000,1598,120,False,Unknown,False,False,True,Diesel,Manual
ID6G9IDa,51500,2015,318000,1968,150,False,Unknown,False,False,True,Diesel,Automatic
ID6G9IMM,63000,2016,162000,1798,180,True,Polska,False,False,False,Petrol,Manual
ID6G9Jr9,74500,2019,30000,1598,120,False,Francja,False,False,False,Diesel,Automatic
ID6G9p6j,74900,2019,162600,1968,150,True,Polska,False,True,False,Diesel,Manual
ID6G9uv4,65000,2015,170000,1968,240,False,Unknown,True,False,True,Diesel,Automatic
ID6G9vNi,179900,2022,31320,1968,200,True,Unknown,True,True,True,Diesel,Automatic
ID6G9yJs,84900,2020,102785,1498,150,True,Polska,False,True,False,Petrol,Automatic
ID6G9yJY,76900,2018,143293,1968,150,True,Unknown,False,True,True,Diesel,Manual
ID6G9yyx,69900,2016,167300,2000,150,True,Niemcy,True,False,True,Diesel,Manual
ID6G9z0w,66900,2017,120997,1798,180,True,Polska,False,False,False,Petrol,Manual
ID6Ga1cF,49999,2015,262000,1968,150,True,Niemcy,False,False,True,Diesel,Manual
ID6Ga8OJ,69900,2018,181184,1968,150,True,Polska,False,False,True,Diesel,Automatic
ID6Gaavu,99900,2019,98000,1968,190,True,Polska,False,True,True,Diesel,Automatic
ID6Gac67,69899,2020,167000,1968,150,True,Unknown,False,False,True,Diesel,Automatic
ID6GaCTT,74800,2019,259135,1968,240,True,Polska,True,True,True,Diesel,Automatic
ID6GaDX0,89900,2019,100528,1968,150,True,Polska,False,True,True,Diesel,Automatic
ID6GaIP7,59900,2016,293000,1968,190,True,Polska,True,False,True,Diesel,Automatic
ID6GaJ6U,53000,2016,230545,1968,150,True,Niemcy,False,False,True,Diesel,Automatic
ID6GajIU,129850,2019,69284,1984,190,True,Polska,False,True,True,Petrol,Automatic
ID6Gak0u,69999,2016,148000,1968,190,True,Unknown,False,False,True,Diesel,Automatic
ID6Gaksm,110000,2017,106000,1984,280,True,Polska,True,False,False,Petrol,Automatic
ID6Gal30,46000,2017,259200,1968,150,False,Unknown,False,False,True,Diesel,Manual
ID6GalNz,42900,2015,211000,1598,120,True,Niemcy,False,False,True,Diesel,Manual
ID6GaNAy,74900,2019,129099,1968,150,False,Polska,False,False,True,Diesel,Manual
ID6GaOG0,96900,2020,89800,1968,150,True,Polska,False,False,True,Diesel,Manual
ID6Gaom3,59900,2015,58276,1395,125,True,Niemcy,False,False,False,Petrol,Manual
ID6Gape8,81900,2020,83134,1968,122,False,Hiszpania,False,False,False,Diesel,Automatic
ID6GaqAf,79900,2018,114592,1968,150,True,Polska,False,True,False,Diesel,Automatic
ID6GaTPi,63999,2015,245000,1968,240,False,Niemcy,True,False,True,Diesel,Automatic
ID6Gaum3,89950,2020,144097,1968,150,False,Niemcy,False,False,True,Diesel,Automatic
ID6Gayud,82000,2017,76000,1968,149,True,Polska,False,False,False,Diesel,Automatic
ID6Gb5Tw,79900,2018,150165,1984,220,False,Polska,False,True,False,Petrol,Automatic
